,file,date,longitude,latitude,ocean,profiler_code,institution_code,date_update,wmo,institution,profiler
33,coriolis/6900583/profiles/D6900583_034.nc,2011-12-21 17:36:44,-31.847,51.443,A,846,IF,2017-08-18 15:52:19,6900583,"Ifremer, France","Webb Research, Seabird sensor"
34,coriolis/6900583/profiles/D6900583_035.nc,2012-01-05 17:15:25,-31.225,51.356,A,846,IF,2017-08-18 15:52:22,6900583,"Ifremer, France","Webb Research, Seabird sensor"
35,coriolis/6900583/profiles/D6900583_036.nc,2012-01-20 17:32:14,-31.114,51.508,A,846,IF,2017-08-18 15:52:23,6900583,"Ifremer, France","Webb Research, Seabird sensor"
36,coriolis/6900583/profiles/D6900583_037.nc,2012-02-04 16:58:27,-30.97,51.138,A,846,IF,2017-08-18 15:52:25,6900583,"Ifremer, France","Webb Research, Seabird sensor"
37,coriolis/6900583/profiles/D6900583_038.nc,2012-02-19 17:37:17,-30.122,50.402,A,846,IF,2017-08-18 15:52:27,6900583,"Ifremer, France","Webb Research, Seabird sensor"
38,coriolis/6900583/profiles/D6900583_039.nc,2012-03-05 16:56:09,-29.659,50.213,A,846,IF,2017-08-18 15:52:28,6900583,"Ifremer, France","Webb Research, Seabird sensor"
39,coriolis/6900583/profiles/D6900583_040.nc,2012-03-20 17:19:35,-29.139,50.17,A,846,IF,2017-08-18 15:52:29,6900583,"Ifremer, France","Webb Research, Seabird sensor"
40,coriolis/6900583/profiles/D6900583_041.nc,2012-04-04 17:29:47,-29.089,49.852,A,846,IF,2017-08-18 15:52:30,6900583,"Ifremer, France","Webb Research, Seabird sensor"
41,coriolis/6900583/profiles/D6900583_042.nc,2012-04-19 16:59:40,-29.308,50.04,A,846,IF,2017-08-18 15:52:31,6900583,"Ifremer, France","Webb Research, Seabird sensor"
42,coriolis/6900583/profiles/D6900583_043.nc,2012-05-04 17:37:01,-28.984,50.289,A,846,IF,2017-08-18 15:52:32,6900583,"Ifremer, France","Webb Research, Seabird sensor"
43,coriolis/6900583/profiles/D6900583_044.nc,2012-05-19 17:00:18,-27.815,50.731,A,846,IF,2017-08-18 15:52:33,6900583,"Ifremer, France","Webb Research, Seabird sensor"
44,coriolis/6900583/profiles/D6900583_045.nc,2012-06-03 17:39:06,-27.172,51.378,A,846,IF,2017-08-18 15:52:35,6900583,"Ifremer, France","Webb Research, Seabird sensor"
45,coriolis/6900583/profiles/D6900583_046.nc,2012-06-18 17:11:12,-27.272,51.635,A,846,IF,2017-08-18 15:52:37,6900583,"Ifremer, France","Webb Research, Seabird sensor"
46,coriolis/6900583/profiles/D6900583_047.nc,2012-07-03 17:39:00,-26.965,51.699,A,846,IF,2017-08-18 15:52:38,6900583,"Ifremer, France","Webb Research, Seabird sensor"
47,coriolis/6900583/profiles/D6900583_048.nc,2012-07-18 17:38:14,-26.549,52.229,A,846,IF,2017-08-18 15:52:39,6900583,"Ifremer, France","Webb Research, Seabird sensor"
48,coriolis/6900583/profiles/D6900583_049.nc,2012-08-02 17:11:47,-26.485,52.673,A,846,IF,2017-08-18 15:52:41,6900583,"Ifremer, France","Webb Research, Seabird sensor"
49,coriolis/6900583/profiles/D6900583_050.nc,2012-08-17 17:44:44,-26.622,53.443,A,846,IF,2017-08-18 15:52:43,6900583,"Ifremer, France","Webb Research, Seabird sensor"
50,coriolis/6900583/profiles/D6900583_051.nc,2012-09-01 17:15:22,-25.635,53.716,A,846,IF,2017-08-18 15:52:45,6900583,"Ifremer, France","Webb Research, Seabird sensor"
51,coriolis/6900583/profiles/D6900583_052.nc,2012-09-16 17:40:14,-23.982,52.2,A,846,IF,2017-08-18 15:52:46,6900583,"Ifremer, France","Webb Research, Seabird sensor"
52,coriolis/6900583/profiles/D6900583_053.nc,2012-10-01 16:53:59,-23.31,51.77,A,846,IF,2017-08-18 15:52:48,6900583,"Ifremer, France","Webb Research, Seabird sensor"
53,coriolis/6900583/profiles/D6900583_054.nc,2012-10-16 17:44:32,-22.597,52.183,A,846,IF,2017-08-18 15:52:50,6900583,"Ifremer, France","Webb Research, Seabird sensor"
54,coriolis/6900583/profiles/D6900583_055.nc,2012-10-31 17:02:41,-22.597,53.165,A,846,IF,2017-08-18 15:52:52,6900583,"Ifremer, France","Webb Research, Seabird sensor"
